Steps,Return_1k,Return_10k,Label,Gamma
9200000,3324.8736319379313,32813.00358829503,TRPO_gamma_0.99,0.99
9304000,3464.8435463059823,35651.263683576115,TRPO_gamma_0.99,0.99
9400000,3490.421424315572,35450.55522313571,TRPO_gamma_0.99,0.99
9504000,3505.91813153377,35383.584251505985,TRPO_gamma_0.99,0.99
9600000,3518.500703973862,35813.49911152195,TRPO_gamma_0.99,0.99
9704000,3576.547333097591,36189.70590796903,TRPO_gamma_0.99,0.99
9800000,3551.564142412026,36319.07157529974,TRPO_gamma_0.99,0.99
9904000,3542.883003598091,36446.10684516621,TRPO_gamma_0.99,0.99
10000000,3585.552407444954,36531.97541349289,TRPO_gamma_0.99,0.99
104000,-1.3215011014685092,-2.5087929213008957,TRPO_gamma_0.999,0.999
200000,77.64648872806825,1180.326711233408,TRPO_gamma_0.999,0.999
304000,729.0101135583701,5062.281512104798,TRPO_gamma_0.999,0.999
400000,787.1222724250947,8531.476026257811,TRPO_gamma_0.999,0.999
504000,1680.6718317596835,16780.028799251446,TRPO_gamma_0.999,0.999
600000,1627.936784612933,15910.090763350783,TRPO_gamma_0.999,0.999
704000,1646.3347541406183,16361.126305544478,TRPO_gamma_0.999,0.999
800000,1665.8819804731488,16536.53529022693,TRPO_gamma_0.999,0.999
904000,1737.191014333716,17476.848402456155,TRPO_gamma_0.999,0.999
1000000,1521.9594398305103,15311.81217308329,TRPO_gamma_0.999,0.999
1104000,1502.0829578928258,15038.959786665848,TRPO_gamma_0.999,0.999
1200000,1679.150278184073,15781.901424072072,TRPO_gamma_0.999,0.999
1304000,1743.1034553316301,16809.946123183756,TRPO_gamma_0.999,0.999
1400000,1798.626972354735,18376.266353209558,TRPO_gamma_0.999,0.999
1504000,1947.6291710124806,16340.95717298984,TRPO_gamma_0.999,0.999
1600000,1932.5398226056986,19399.689142239185,TRPO_gamma_0.999,0.999
1704000,1951.3412282324766,19547.28462718104,TRPO_gamma_0.999,0.999
1800000,1896.207618864259,19015.086485775697,TRPO_gamma_0.999,0.999
1904000,2099.6866971849236,21053.502681965656,TRPO_gamma_0.999,0.999
2000000,2162.650047422482,21709.23122534407,TRPO_gamma_0.999,0.999
2104000,2461.2200231459597,24890.70959986854,TRPO_gamma_0.999,0.999
2200000,2412.8646000684967,24415.864316172872,TRPO_gamma_0.999,0.999
2304000,2476.9755344063906,25446.037027672937,TRPO_gamma_0.999,0.999
2400000,2642.265241454582,26845.316302515974,TRPO_gamma_0.999,0.999
2504000,2680.9716531955983,26942.340615155303,TRPO_gamma_0.999,0.999
2600000,2669.106730972632,26627.47798148265,TRPO_gamma_0.999,0.999
2704000,2593.6455399433385,26053.24150029092,TRPO_gamma_0.999,0.999
2800000,2467.4166947799517,25352.73051576137,TRPO_gamma_0.999,0.999
2904000,2680.1897188462794,27395.961354879422,TRPO_gamma_0.999,0.999
3000000,2679.428151206645,26408.030150662835,TRPO_gamma_0.999,0.999
3104000,2619.259590060111,26292.476410816955,TRPO_gamma_0.999,0.999
3200000,2596.5054399684736,26494.37132155126,TRPO_gamma_0.999,0.999
3304000,2774.491538626936,26658.75041103949,TRPO_gamma_0.999,0.999
3400000,2773.270362170767,22562.245244801503,TRPO_gamma_0.999,0.999
3504000,2922.6784724279787,26032.83449297781,TRPO_gamma_0.999,0.999
